HomeTeam,AwayTeam,FTHG,FTAG,FTR
Sheffield Weds,Stoke,0,3,A
Swansea,Sheffield United,1,0,H
Watford,QPR,2,1,H
Ipswich,Southampton,1,1,D
Hull,Oxford,3,2,H
Derby,Bristol City,1,1,D
Charlton,Leicester,0,1,A
Hull,Blackburn,0,3,A
Swansea,Watford,1,1,D
Birmingham,Oxford,1,0,H
Coventry,QPR,7,1,H
Norwich,Middlesbrough,1,2,A
Preston,Ipswich,1,0,H
Sheffield United,Millwall,0,1,A
Southampton,Stoke,1,2,A
West Brom,Portsmouth,1,1,D
Wrexham,Sheffield Weds,2,2,D
Leicester,Birmingham,2,0,H
Middlesbrough,Sheffield United,1,0,H
QPR,Charlton,3,1,H
Stoke,West Brom,0,1,A
Blackburn,Norwich,0,2,A
Bristol City,Hull,4,2,H
Ipswich,Derby,2,2,D
Millwall,Wrexham,0,2,A
Oxford,Coventry,2,2,D
Portsmouth,Preston,1,0,H
Sheffield Weds,Swansea,0,2,A
Watford,Southampton,2,2,D
Ipswich,Sheffield United,5,0,H
Charlton,Millwall,1,1,D
Oxford,Leicester,2,2,D
Preston,Middlesbrough,2,2,D
Coventry,Norwich,1,1,D
Sheffield Weds,Bristol City,0,3,A
Stoke,Birmingham,1,0,H
Swansea,Hull,2,2,D
Watford,Blackburn,0,1,A
West Brom,Derby,0,1,A
Wrexham,QPR,1,3,A
Southampton,Portsmouth,0,0,D
Middlesbrough,West Brom,2,1,H
Birmingham,Swansea,1,0,H
Leicester,Coventry,0,0,D
QPR,Stoke,1,0,H
Derby,Preston,0,1,A
Hull,Southampton,3,1,H
